
# Surface 0 of 1 surfaces

# Curve title: ""p2_contourtmp1.dat""

# Contour 0, label:       10
 2.75747  0.83415  6 
 2.76753  0.878714  6 
 2.77994  0.939319  6 
 2.79108  0.999924  6 
 2.80088  1.06053  6 
 2.80931  1.12113  6 
 2.81629  1.18174  6 
 2.81807  1.20155  6 
 2.82168  1.24234  6 
 2.82549  1.30295  6 
 2.82771  1.36355  6 
 2.82828  1.42416  6 
 2.82712  1.48476  6 
 2.82416  1.54537  6 
 2.81931  1.60597  6 
 2.81807  1.61713  6 
 2.81232  1.66658  6 
 2.80317  1.72718  6 
 2.79178  1.78779  6 
 2.77805  1.84839  6 
 2.76186  1.909  6 
 2.75747  1.92336  6 
 2.74259  1.9696  6 
 2.72034  2.03021  6 
 2.69686  2.08665  6 
 2.69503  2.09081  6 
 2.66556  2.15142  6 
 2.63626  2.2054  6 
 2.63244  2.21202  6 
 2.59425  2.27263  6 
 2.57565  2.29956  6 
 2.55086  2.33323  6 
 2.51505  2.37788  6 
 2.50134  2.39384  6 
 2.45444  2.4443  6 
 2.4443  2.45444  6 
 2.39384  2.50134  6 
 2.37788  2.51505  6 
 2.33323  2.55086  6 
 2.29956  2.57565  6 
 2.27263  2.59425  6 
 2.21202  2.63244  6 
 2.2054  2.63626  6 
 2.15142  2.66556  6 
 2.09081  2.69503  6 
 2.08665  2.69686  6 
 2.03021  2.72034  6 
 1.9696  2.74259  6 
 1.92336  2.75747  6 
 1.909  2.76186  6 
 1.84839  2.77805  6 
 1.78779  2.79178  6 
 1.72718  2.80317  6 
 1.66658  2.81232  6 
 1.61713  2.81807  6 
 1.60597  2.81931  6 
 1.54537  2.82416  6 
 1.48476  2.82712  6 
 1.42416  2.82828  6 
 1.36355  2.82771  6 
 1.30295  2.82549  6 
 1.24234  2.82168  6 

-0.834653 -2.75758  6 
-0.818223 -2.75382  6 
-0.757619 -2.73862  6 
-0.697014 -2.72227  6 
-0.636409 -2.7048  6 
-0.611027 -2.69698  6 
-0.575804 -2.68598  6 
-0.515199 -2.66592  6 
-0.454594 -2.64485  6 
-0.431453 -2.63637  6 
-0.393989 -2.62247  6 
-0.333384 -2.59893  6 
-0.27601 -2.57577  6 
-0.272779 -2.57444  6 
-0.212174 -2.54849  6 
-0.151569 -2.52168  6 
-0.137395 -2.51516  6 
-0.0909647 -2.49353  6 
-0.0303596 -2.46443  6 
-0.0104969 -2.45456  6 
 0.0302452 -2.43406  6 
 0.09085 -2.40271  6 
 0.107257 -2.39395  6 
 0.151455 -2.37007  6 
 0.21206 -2.33653  6 
 0.217637 -2.33335  6 
 0.272665 -2.30156  6 
 0.321508 -2.27274  6 
 0.33327 -2.26571  6 
 0.393875 -2.22854  6 
 0.420017 -2.21214  6 
 0.454479 -2.19025  6 
